,Fitness,Precision,Simplicity,Generalization
140,0.964547091840823,0.9698344901227977,0.6888888888888889,0.8215017683514569
141,1.0,0.9927586206896551,0.7931034482758622,0.8130231226844007
142,1.0,0.9927586206896551,0.7931034482758622,0.8130231226844007
143,0.9600908439820575,0.9839762611275964,0.7000000000000001,0.7982179783172771
144,0.961412141190058,0.961349419124218,0.6521739130434783,0.7846522978983809
145,0.964547091840823,0.9698344901227977,0.6888888888888889,0.8215017683514569
146,1.0,0.9818518518518519,0.7333333333333333,0.8194258387401397
147,1.0,1.0,1.0,0.8761838182994475
148,1.0,0.9959090909090909,0.8571428571428572,0.807987011815096
149,0.964547091840823,0.9698344901227977,0.6888888888888889,0.8215017683514569
150,1.0,0.9787878787878788,0.7647058823529413,0.7950966073758514
151,1.0,0.9913793103448276,0.7931034482758622,0.8013958336693205
152,1.0,1.0,0.9354838709677418,0.824083827421848
153,1.0,1.0,1.0,0.8761838182994475
154,1.0,1.0,0.8,0.7828898670829316
155,1.0,1.0,0.8947368421052632,0.8282243683320407
156,1.0,1.0,0.8947368421052632,0.834439758129734
157,1.0,1.0,0.8947368421052632,0.834439758129734
158,1.0,0.992,0.8181818181818181,0.8177364044849579
159,1.0,1.0,1.0,0.8829884416424625
160,1.0,1.0,1.0,0.8631810166779471
161,1.0,1.0,1.0,0.9
162,1.0,0.9803448275862069,0.7560975609756097,0.8078692219026853
163,1.0,0.9818518518518519,0.7333333333333333,0.8194258387401397
164,1.0,1.0,1.0,0.9
165,1.0,1.0,0.92,0.8278275477401027
166,1.0,0.9943478260869565,0.7599999999999999,0.8180349729651077
167,1.0,1.0,1.0,0.8829884416424625
168,1.0,1.0,0.92,0.8278275477401027
169,1.0,1.0,1.0,0.8631810166779471
170,1.0,1.0,1.0,0.8765283631264775
171,1.0,1.0,1.0,0.9
172,1.0,1.0,0.9047619047619049,0.8603268963528353
173,1.0,0.9818518518518519,0.7333333333333333,0.8194258387401397
174,1.0,0.9969565217391304,0.9259259259259258,0.8543807648021529
175,1.0,1.0,1.0,0.9
176,1.0,1.0,1.0,0.9
177,1.0,1.0,1.0,0.8761838182994475
178,1.0,0.9913793103448276,0.7931034482758622,0.8013958336693205
179,1.0,1.0,0.8,0.812902236839309
180,0.9435466502274918,0.9801599052413384,0.6129032258064515,0.8109659409251244
181,1.0,1.0,1.0,0.9
182,1.0,0.9969565217391304,0.9259259259259258,0.8543807648021529
183,1.0,1.0,1.0,0.8631810166779471
184,1.0,1.0,0.8947368421052632,0.8266583276248998
185,1.0,1.0,0.9354838709677418,0.8681296977502512
186,1.0,0.9803448275862069,0.7560975609756097,0.8078692219026853
187,1.0,1.0,0.8947368421052632,0.8266583276248998
188,1.0,1.0,0.8,0.7828898670829316
189,1.0,1.0,0.9259259259259258,0.8333792748370179
190,1.0,1.0,1.0,0.9
191,1.0,1.0,0.8947368421052632,0.8282243683320407
192,1.0,1.0,1.0,0.8805451094315708
193,1.0,1.0,1.0,0.8829884416424625
194,1.0,1.0,1.0,0.9
195,1.0,1.0,0.9354838709677418,0.824083827421848
196,1.0,1.0,1.0,0.9
197,0.97023085182534,0.9729559748427673,0.6363636363636362,0.7590928606055134
198,1.0,0.9943478260869565,0.7599999999999999,0.8180349729651077
199,1.0,1.0,0.8947368421052632,0.8282243683320407
200,1.0,1.0,0.8,0.812902236839309
201,1.0,1.0,1.0,0.9
202,1.0,0.9969565217391304,0.9259259259259258,0.8543807648021529
203,1.0,1.0,0.9130434782608695,0.8230509179526804
204,0.9270196150255172,0.9753193960511034,0.6521739130434783,0.8022760852162936
205,1.0,1.0,1.0,0.8631810166779471
206,1.0,1.0,0.9259259259259258,0.8333792748370179
207,1.0,1.0,0.8,0.8127838776341147
208,1.0,0.9803448275862069,0.7560975609756097,0.8078692219026853
209,1.0,0.9818518518518519,0.7333333333333333,0.8194258387401397
210,1.0,1.0,0.8,0.812902236839309
211,0.9270196150255172,0.9753193960511034,0.6521739130434783,0.8022760852162936
212,1.0,0.9959090909090909,0.8571428571428572,0.807987011815096
213,1.0,0.9875,0.7894736842105263,0.8390629274735957
214,1.0,1.0,0.8,0.812902236839309
215,1.0,1.0,0.8,0.7717064758849371
216,1.0,1.0,0.8947368421052632,0.834439758129734
217,1.0,0.998125,0.8181818181818181,0.8096208717366555
218,0.9556194922461683,0.9840136054421769,0.7142857142857143,0.8324534679790695
219,1.0,0.9896296296296296,0.8285714285714286,0.8437150274518308
220,1.0,1.0,1.0,0.9
221,1.0,1.0,0.9354838709677418,0.824083827421848
222,1.0,1.0,0.8,0.812902236839309
223,1.0,1.0,0.8,0.812902236839309
224,1.0,1.0,1.0,0.8858029729541236
225,1.0,1.0,0.8,0.8127838776341147
226,1.0,0.9928125,0.8064516129032256,0.8111648824710486
227,1.0,1.0,1.0,0.9
228,1.0,1.0,1.0,0.8829884416424625
229,0.9556194922461683,0.9840136054421769,0.7142857142857143,0.8324534679790695
230,1.0,1.0,1.0,0.9
231,1.0,1.0,1.0,0.8765283631264775
232,1.0,1.0,0.8,0.7717064758849371
233,1.0,1.0,0.8,0.8127838776341147
234,1.0,1.0,0.8947368421052632,0.834439758129734
235,0.9296636085626911,0.9873110151187905,0.6226415094339623,0.793741274476998
236,1.0,0.9975,0.8461538461538463,0.8275646416428784
237,1.0,0.998125,0.8181818181818181,0.8096208717366555
238,1.0,0.998125,0.8181818181818181,0.8096208717366555
239,0.9624092280549235,0.9918256130790191,0.7142857142857143,0.7938306796048455
240,1.0,1.0,0.8,0.7717064758849371
241,1.0,1.0,0.8,0.812902236839309
242,1.0,0.9969565217391304,0.9259259259259258,0.8543807648021529
243,0.9556194922461683,0.9840136054421769,0.7142857142857143,0.8324534679790695
244,1.0,1.0,0.8947368421052632,0.8266583276248998
245,0.9435466502274918,0.9801599052413384,0.6129032258064515,0.8109659409251244
246,0.9537195560336333,1.0,0.7777777777777779,0.8174515418511663
247,1.0,1.0,0.8947368421052632,0.834439758129734
248,1.0,0.9913793103448276,0.7931034482758622,0.8013958336693205
249,1.0,1.0,0.9354838709677418,0.824083827421848
250,1.0,0.9959090909090909,0.8571428571428572,0.807987011815096
251,0.9537195560336333,1.0,0.7777777777777779,0.8174515418511663
252,1.0,1.0,1.0,0.8765283631264775
253,1.0,0.998125,0.8181818181818181,0.8096208717366555
254,1.0,1.0,1.0,0.8761838182994475
255,0.964547091840823,0.9698344901227977,0.6888888888888889,0.8215017683514569
256,0.97023085182534,0.9729559748427673,0.6363636363636362,0.7590928606055134
257,1.0,0.9951724137931034,0.8378378378378379,0.815375870033672
258,1.0,1.0,1.0,0.8761838182994475
259,1.0,0.9943478260869565,0.7599999999999999,0.8180349729651077
260,1.0,1.0,1.0,0.8783489257267705
261,0.9270196150255172,0.9753193960511034,0.6521739130434783,0.8022760852162936
262,1.0,1.0,0.8947368421052632,0.834439758129734
263,1.0,1.0,1.0,0.8858029729541236
264,0.9620663306343504,0.9790178571428572,0.627906976744186,0.8000722068912084
265,1.0,1.0,1.0,0.8631810166779471
266,1.0,1.0,0.8947368421052632,0.834439758129734
267,1.0,1.0,1.0,0.8765283631264775
268,0.9612347656004987,0.9741309620048505,0.6470588235294118,0.7849333982462336
269,1.0,1.0,0.8947368421052632,0.834439758129734
270,1.0,0.9896296296296296,0.8285714285714286,0.8437150274518308
271,1.0,0.9959090909090909,0.8571428571428572,0.807987011815096
272,1.0,0.9875,0.7894736842105263,0.8390629274735957
273,1.0,0.9896296296296296,0.8285714285714286,0.8437150274518308
274,1.0,1.0,0.8947368421052632,0.834439758129734
275,1.0,1.0,0.8,0.8127838776341147
276,1.0,0.9941379310344828,0.8378378378378379,0.8416503041614898
277,1.0,1.0,0.9259259259259258,0.8333792748370179
278,1.0,0.9941379310344828,0.8378378378378379,0.8416503041614898
279,1.0,0.9927586206896551,0.7931034482758622,0.8130231226844007
280,0.9556194922461683,0.9840136054421769,0.7142857142857143,0.8324534679790695
281,1.0,1.0,1.0,0.8858029729541236
282,1.0,0.9907692307692307,0.7777777777777779,0.8415264252825971
283,1.0,1.0,0.9354838709677418,0.824083827421848
284,0.9270196150255172,0.9753193960511034,0.6521739130434783,0.8022760852162936
285,1.0,1.0,0.9354838709677418,0.824083827421848
286,1.0,0.998125,0.8181818181818181,0.8096208717366555
287,1.0,1.0,1.0,0.9
288,1.0,1.0,1.0,0.8631810166779471
289,1.0,1.0,0.9130434782608695,0.8230509179526804
290,1.0,1.0,1.0,0.8829884416424625
