time,vertex,state,state_id,buffer_occupation,production_step
27,32,working,2,0.3333333333333333,12
27,13,working,2,0.0,13
27,26,starved,0,0.0,13
27,37,starved,0,0.0,13
27,59,starved,0,0.0,13
27,63,starved,0,0.0,13
27,14,working,2,0.0,14
27,31,starved,0,0.0,14
27,35,starved,0,0.0,14
27,54,starved,0,0.0,14
27,56,starved,0,0.0,14
27,15,working,2,0.0,15
27,39,starved,0,0.0,15
27,49,starved,0,0.0,15
27,66,starved,0,0.0,15
27,72,starved,0,0.0,15
27,16,working,2,0.0,16
27,27,working,2,0.0,16
27,17,working,2,0.0,17
27,24,working,2,0.0,17
27,45,starved,0,0.0,17
27,18,working,2,0.0,18
27,55,working,2,0.0,18
27,60,starved,0,0.0,18
27,64,starved,0,0.0,18
27,19,working,2,0.0,19
27,44,working,2,0.0,19
27,53,starved,0,0.0,19
27,62,starved,0,0.0,19
27,20,working,2,0.3333333333333333,20
27,47,working,2,0.3333333333333333,20
27,21,working,2,0.0,21
27,38,working,2,0.0,21
28,0,working,2,0.0,0
28,71,working,2,0.0,0
28,1,working,2,0.3333333333333333,1
28,29,working,2,0.0,1
28,2,working,2,0.0,2
28,25,working,2,0.0,2
28,50,starved,0,0.0,2
28,51,starved,0,0.0,2
28,70,starved,0,0.0,2
28,3,working,2,0.0,3
28,33,working,2,0.0,3
28,4,working,2,0.0,4
28,28,working,2,0.0,4
28,41,blocked,1,0.0,4
28,52,blocked,1,0.0,4
28,69,blocked,1,0.0,4
28,5,working,2,0.6666666666666666,5
28,22,working,2,0.6666666666666666,5
28,6,working,2,0.0,6
28,23,working,2,0.0,6
28,30,starved,0,0.0,6
28,46,starved,0,0.0,6
28,7,working,2,0.0,7
28,42,starved,0,0.0,7
28,67,starved,0,0.0,7
28,8,starved,0,0.0,8
28,40,starved,0,0.0,8
28,57,starved,0,0.0,8
28,9,starved,0,0.0,9
28,34,starved,0,0.0,9
28,36,starved,0,0.0,9
28,61,starved,0,0.0,9
28,10,starved,0,0.0,10
28,48,starved,0,0.0,10
28,65,starved,0,0.0,10
28,73,starved,0,0.0,10
28,11,starved,0,0.0,11
28,43,starved,0,0.0,11
28,58,starved,0,0.0,11
28,68,starved,0,0.0,11
28,12,working,2,0.0,12
28,32,working,2,0.3333333333333333,12
28,13,working,2,0.0,13
28,26,starved,0,0.0,13
28,37,starved,0,0.0,13
28,59,starved,0,0.0,13
28,63,starved,0,0.0,13
28,14,working,2,0.0,14
28,31,starved,0,0.0,14
28,35,starved,0,0.0,14
